,Crop,Suitability,Texture,g_c,g_cl,g_l,g_ls,g_s,g_sc,g_scl,g_sic,g_sicl,g_sil,g_sl,Slope_code,g_A,g_B,g_C,g_D,Drainage_code,gd_A,gd_B,gd_C,Erosion_code,ge_A,ge_B,ge_C,Gravel_code,gg_A,gg_B,gg_C,Depth_code,gde_A,gde_B,gde_C,gde_D,gde_E,gde_F,Rocky_code,gr_A,gr_B,gr_C,pH,LCC,Temperature,Rainfall,LGP
0,Castor,S1,"l,scl,sil,cl,sl",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,"A,B",1.0,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,"A,B,C",1,1,1,0,0,0,A,1.0,0.0,0.0,6.5-7.5,1,26-32,600-750,110-150
1,Castor,S2,"sicl,sic,sc,c",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,C,0.0,0.0,1.0,0.0,A,1.0,0.0,0.0,B,0.0,1.0,0.0,B,0.0,1.0,0.0,C,0,0,1,0,0,0,B,0.0,1.0,0.0,6.4-5.0,2,33-35,400-600,120-150
2,Castor,S3,"ls,c",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,0.0,0.0,0.0,1.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,E,0,0,0,0,1,0,C,0.0,0.0,1.0,8.1-9.0,3,36-40,250-400,90-120
3,Castor,N,s,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,F,0,0,0,0,0,1,,,,,9.0-14,5,>40,250-400,0-90
4,Groundnut,S1,"ls,sl,sil,l,scl,cl,sicl",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,"A,B",1.0,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,"A,B,C",1,1,1,0,0,0,A,1.0,0.0,0.0,6.0-8.0,1,24-30,700-1000,
5,Groundnut,S2,"cl,sicl,scl,sc,sic,c",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,C,0.0,0.0,1.0,0.0,A,1.0,0.0,0.0,B,0.0,1.0,0.0,B,0.0,1.0,0.0,D,0,0,0,1,0,0,B,0.0,1.0,0.0,"8.1-8.5,5.5-5.9",2,"22-23,31-33",500-700,
6,Groundnut,S3,"c,sic,s,ls,sl",1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,D,0.0,0.0,0.0,1.0,B,0.0,1.0,0.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,E,0,0,0,0,1,0,C,0.0,0.0,1.0,"8.5-14,0-5.5",3,"20-21,34-40",350-500,
7,Groundnut,N,,,,,,,,,,,,,,,,,,C,0.0,0.0,1.0,,,,,,,,,F,0,0,0,0,0,1,,,,,,5,"0-20,40-60",0-350,
8,Ragi,S1,"l,sil,sl,cl,sicl,scl",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,"A,B",1.0,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,"A,B,C",1,1,1,0,0,0,A,1.0,0.0,0.0,5.5-7.5,1,28-34,750-900,110-150
9,Ragi,S2,"sic,c,sc",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,B,0.0,1.0,0.0,B,0.0,1.0,0.0,B,0.0,1.0,0.0,D,0,0,0,1,0,0,B,0.0,1.0,0.0,"7.6-8.5,4.5-5.4",2,"25-27, 35-38",600-750,90-110
10,Ragi,S3,"ls,s,c",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,D,0.0,0.0,0.0,1.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,E,0,0,0,0,1,0,C,0.0,0.0,1.0,"8.6-9.5,4.0-4.4",3,"20-24,39-40",450-600,60-90
11,Ragi,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,0,0,0,0,0,1,,,,,0.0-4.0,5,"0-20,40-60",0-450,0-60
12,Rice,S1,"c,sic,cl,sicl,sc",1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,"A,B",1.0,1.0,0.0,0.0,B,0.0,1.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,"A,B,C",1,1,1,0,0,0,A,1.0,0.0,0.0,5.5-6.5,1,30-34,1110-1250,
13,Rice,S2,"scl,sil,l",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"A,B",1.0,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,D,0,0,0,1,0,0,A,1.0,0.0,0.0,"6.4-7.5,4.5-5.4",2,"21-29,35-38",900-1110,
14,Rice,S3,"sl,ls",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,0.0,0.0,1.0,0.0,"A,B",1.0,1.0,0.0,B,0.0,1.0,0.0,B,0.0,1.0,0.0,E,0,0,0,0,1,0,B,0.0,1.0,0.0,7.6-8.5,3,"15-20,39-40",750-900,
15,Rice,N,s,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,D,0.0,0.0,0.0,1.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,F,0,0,0,0,0,1,C,0.0,0.0,1.0,"8.5-14,0-4.5",5,"0-15,40-60",<750,
16,Sugarcane,S1,"l,cl,sil,sicl",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"A,B",1.0,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,A,1.0,0.0,0.0,"A,B",1,1,0,0,0,0,A,1.0,0.0,0.0,7.0-8.0,1,30-34,,
17,Sugarcane,S2,"sl,ls",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,0.0,0.0,1.0,0.0,"A,B",1.0,1.0,0.0,B,0.0,1.0,0.0,B,0.0,1.0,0.0,C,0,0,1,0,0,0,B,0.0,1.0,0.0,"6.0-6.9,8.1-9.0",2,26-29.35-38,,
18,Sugarcane,S3,c,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,0.0,0.0,0.0,1.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,C,0.0,0.0,1.0,D,0,0,0,1,0,0,C,0.0,0.0,1.0,"4.0-5.9,9.1-9.5",3,"25-30,33-40",,
19,Sugarcane,N,,,,,,,,,,,,,,,,,,C,0.0,0.0,1.0,,,,,,,,,"E,F",0,0,0,0,1,1,,,,,"0.0-4.0,9.5-14",5,"<30,>40",,
