Crop_suitability,Texture,Slope,Erosion,Gravel,Rocky,Drainage,Depth,LCC,Temperature,Rainfall,pH
Sugarcane_N,,,,,,C,E,,"0-19,41-60",0-750,"0-3.9,9.6-14.0"
Castor_S1,l,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,l,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,l,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,l,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,scl,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,scl,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,scl,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,scl,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,sil,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,sil,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,sil,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,sil,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,cl,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,cl,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,cl,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,cl,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,sl,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,sl,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,sl,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,sl,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S2,sicl,C,B,B,B,B,D,II,"24-25,33-35",400-600,"5.0-6.4,7.6-8.0"
Castor_S2,sic,C,B,B,B,B,D,II,"24-25,33-35",400-600,"5.0-6.4,7.6-8.0"
Castor_S2,sc,C,B,B,B,B,D,II,"24-25,33-35",400-600,"5.0-6.4,7.6-8.0"
Castor_S2,c,C,B,B,B,B,D,II,"24-25,33-35",400-600,"5.0-6.4,7.6-8.0"
Castor_S3,ls,D,C,C,C,C,C,III,"15-23,36-40",250-400,"4.0-4.9,8.1-9.0"
Castor_S3,c,D,C,C,C,C,C,III,"15-23,36-40",250-400,"4.0-4.9,8.1-9.0"
Castor_N,s,E,,,,C,E,,"0-14,41-60",0-250,"0-3.9,9.1-14.0"
Groundnut_S1,ls,A,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,ls,A,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,ls,B,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,ls,B,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sl,A,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sl,A,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sl,B,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sl,B,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sil,A,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sil,A,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sil,B,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sil,B,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,l,A,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,l,A,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,l,B,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,l,B,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,scl,A,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,scl,A,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,scl,B,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,scl,B,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,cl,A,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,cl,A,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,cl,B,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,cl,B,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sicl,A,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sicl,A,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sicl,B,A,A,A,A,A,I,24-30,700-1000,6.0-8.0
Groundnut_S1,sicl,B,A,A,A,A,B,I,24-30,700-1000,6.0-8.0
Groundnut_S2,cl,C,B,B,B,B,D,II,"22-23,31-33",500-700,"5.5-5.9,8.1-8.5"
Groundnut_S2,sicl,C,B,B,B,B,D,II,"22-23,31-33",500-700,"8.1-8.5,5.5-5.9"
Groundnut_S2,scl,C,B,B,B,B,D,II,"22-23,31-33",500-700,"8.1-8.5,5.5-5.9"
Groundnut_S2,sc,C,B,B,B,B,D,II,"22-23,31-33",500-700,"8.1-8.5,5.5-5.9"
Groundnut_S2,sic,C,B,B,B,B,D,II,"22-23,31-33",500-700,"8.1-8.5,5.5-5.9"
Groundnut_S2,c,C,B,B,B,B,D,II,"22-23,31-33",500-700,"8.1-8.5,5.5-5.9"
Groundnut_S3,c,D,C,C,C,B,C,III,"20-21,34-40",350-500,"0-5.4,8.6-14.0"
Groundnut_S3,sic,D,C,C,C,B,C,III,"20-21,34-40",350-500,"0-5.4,8.6-14.0"
Groundnut_S3,s,D,C,C,C,B,C,III,"20-21,34-40",350-500,"0-5.4,8.6-14.0"
Groundnut_S3,ls,D,C,C,C,B,C,III,"20-21,34-40",350-500,"0-5.4,8.6-14.0"
Groundnut_S3,sl,D,C,C,C,B,C,III,"20-21,34-40",350-500,"0-5.4,8.6-14.0"
Groundnut_N,,E,,,,C,E,,"0-19,41-60",0-350,0-3.0
Ragi_S1,l,B,A,A,A,A,A,I,28-34,750-900,5.5-7.5
Ragi_S1,l,B,A,A,A,A,B,I,28-34,750-900,5.5-7.5
Ragi_S1,l,B,A,A,A,B,A,I,28-34,750-900,5.5-7.5
Ragi_S1,l,B,A,A,A,B,B,I,28-34,750-900,5.5-7.5
Ragi_S1,sil,B,A,A,A,A,A,I,28-34,750-900,5.5-7.5
Ragi_S1,sil,B,A,A,A,A,B,I,28-34,750-900,5.5-7.5
Ragi_S1,sil,B,A,A,A,B,A,I,28-34,750-900,5.5-7.5
Ragi_S1,sil,B,A,A,A,B,B,I,28-34,750-900,5.5-7.5
Ragi_S1,sl,B,A,A,A,A,A,I,28-34,750-900,5.5-7.5
Ragi_S1,sl,B,A,A,A,A,B,I,28-34,750-900,5.5-7.5
Ragi_S1,sl,B,A,A,A,B,A,I,28-34,750-900,5.5-7.5
Ragi_S1,sl,B,A,A,A,B,B,I,28-34,750-900,5.5-7.5
Ragi_S1,cl,B,A,A,A,A,A,I,28-34,750-900,5.5-7.5
Ragi_S1,cl,B,A,A,A,A,B,I,28-34,750-900,5.5-7.5
Ragi_S1,cl,B,A,A,A,B,A,I,28-34,750-900,5.5-7.5
Ragi_S1,cl,B,A,A,A,B,B,I,28-34,750-900,5.5-7.5
Ragi_S1,sicl,B,A,A,A,A,A,I,28-34,750-900,5.5-7.5
Ragi_S1,sicl,B,A,A,A,A,B,I,28-34,750-900,5.5-7.5
Ragi_S1,sicl,B,A,A,A,B,A,I,28-34,750-900,5.5-7.5
Ragi_S1,sicl,B,A,A,A,B,B,I,28-34,750-900,5.5-7.5
Ragi_S1,scl,B,A,A,A,A,A,I,28-34,750-900,5.5-7.5
Ragi_S1,scl,B,A,A,A,A,B,I,28-34,750-900,5.5-7.5
Ragi_S1,scl,B,A,A,A,B,A,I,28-34,750-900,5.5-7.5
Ragi_S1,scl,B,A,A,A,B,B,I,28-34,750-900,5.5-7.5
Ragi_S2,sic,C,B,B,B,B,D,II,"25-27,35-38",600-750,"7.6-8.5,4.5-5.4"
Ragi_S2,c,C,B,B,B,B,D,II,"25-27,35-38",600-750,"7.6-8.5,4.5-5.4"
Ragi_S2,sc,C,B,B,B,B,D,II,"25-27,35-38",600-750,"7.6-8.5,4.5-5.4"
Ragi_S3,ls,D,C,C,C,C,C,III,"20-24,39-40",450-600,"4.0-4.4,8.6-9.5"
Ragi_S3,s,D,C,C,C,C,C,III,"20-24,39-40",450-600,"4.0-4.4,8.6-9.5"
Ragi_S3,c,D,C,C,C,C,C,III,"20-24,39-40",450-600,"4.0-4.4,8.6-9.5"
Ragi_N,,E,,,,,E,,"0-20,41-60",0-450,0-3.9
Rice_S1,c,A,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,c,A,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,c,B,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,c,B,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,sic,A,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,sic,A,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,sic,B,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,sic,B,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,cl,A,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,cl,A,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,cl,B,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,cl,B,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,sicl,A,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,sicl,A,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,sicl,B,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,sicl,B,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,sc,A,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,sc,A,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S1,sc,B,A,A,A,B,A,I,30-34,1110-1250,5.5-6.5
Rice_S1,sc,B,A,A,A,B,B,I,30-34,1110-1250,5.5-6.5
Rice_S2,scl,A,A,A,A,B,D,II,"21-29,35-38",900-1110,"4.5-5.4,6.4-7.5"
Rice_S2,scl,B,A,A,A,B,D,II,"21-29,35-38",900-1110,"4.5-5.4,6.4-7.5"
Rice_S2,sil,A,A,A,A,B,D,II,"21-29,35-38",900-1110,"4.5-5.4,6.4-7.5"
Rice_S2,sil,B,A,A,A,B,D,II,"21-29,35-38",900-1110,"4.5-5.4,6.4-7.5"
Rice_S2,l,A,A,A,A,B,D,II,"21-29,35-38",900-1110,"4.5-5.4,6.4-7.5"
Rice_S2,l,B,A,A,A,B,D,II,"21-29,35-38",900-1110,"4.5-5.4,6.4-7.5"
Rice_S3,sl,C,B,B,B,A,C,III,"15-20,39-40",750-900,7.6-8.5
Rice_S3,sl,C,B,B,B,B,C,III,"15-20,39-40",750-900,7.6-8.5
Rice_S3,ls,C,B,B,B,A,C,III,"15-20,39-40",750-900,7.6-8.5
Rice_S3,ls,C,B,B,B,B,C,III,"15-20,39-40",750-900,7.6-8.5
Rice_N,s,D,C,C,C,C,E,,"0-14,41-60",0-750,"0-4.4,8.6-14.0"
Sugarcane_S1,l,A,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,l,A,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,l,B,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,l,B,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,cl,A,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,cl,A,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,cl,B,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,cl,B,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sil,A,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sil,A,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sil,B,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sil,B,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sicl,A,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sicl,A,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sicl,B,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sicl,B,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sc,A,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sc,A,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sc,B,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,sc,B,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,scl,A,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,scl,A,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,scl,B,A,A,A,A,A,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S1,scl,B,A,A,A,A,B,I,"10-20,30-34",1300-1500,7.0-8.0
Sugarcane_S2,c,C,B,B,B,B,D,II,"21-30,26-29,35-38",900-1300,"6.0-6.9,8.1-9.0"
Sugarcane_S2,sl,C,B,B,B,B,D,II,"21-30,26-29,35-38",900-1300,"6.0-6.9,8.1-9.0"
Sugarcane_S3,c,D,C,C,C,C,D,III,"5-9,21-25,39-40",750-900,"4.0-5.9,9.1-9.5"
Sugarcane_N,,,,,,C,E,,"0-19,41-60",0-750,"0-3.9,9.6-14.0"
