Crop_suitability,Texture,Slope,Erosion,Gravel,Rocky,Drainage,Depth,LCC,Temperature,Rainfall,LGP,pH
Castor_S1,l,A,A,A,A,A,A,,,,,
Castor_S1,l,A,A,A,A,A,B,,,,,
Castor_S1,l,B,A,A,A,A,A,,,,,
Castor_S1,l,B,A,A,A,A,B,,,,,
Castor_S1,scl,A,A,A,A,A,A,,,,,
Castor_S1,scl,A,A,A,A,A,B,,,,,
Castor_S1,scl,B,A,A,A,A,A,,,,,
Castor_S1,scl,B,A,A,A,A,B,,,,,
Castor_S1,sil,A,A,A,A,A,A,,,,,
Castor_S1,sil,A,A,A,A,A,B,,,,,
Castor_S1,sil,B,A,A,A,A,A,,,,,
Castor_S1,sil,B,A,A,A,A,B,,,,,
Castor_S1,cl,A,A,A,A,A,A,,,,,
Castor_S1,cl,A,A,A,A,A,B,,,,,
Castor_S1,cl,B,A,A,A,A,A,,,,,
Castor_S1,cl,B,A,A,A,A,B,,,,,
Castor_S1,sl,A,A,A,A,A,A,,,,,
Castor_S1,sl,A,A,A,A,A,B,,,,,
Castor_S1,sl,B,A,A,A,A,A,,,,,
Castor_S1,sl,B,A,A,A,A,B,,,,,
Castor_S2,sicl,C,B,B,B,B,D,,,,,
Castor_S2,sic,C,B,B,B,B,D,,,,,
Castor_S2,sc,C,B,B,B,B,D,,,,,
Castor_S2,c,C,B,B,B,B,D,,,,,
Castor_S3,ls,D,C,C,C,C,C,,,,,
Castor_S3,c,D,C,C,C,C,C,,,,,
Castor_N,s,E,,,,C,E,,,,,
Groundnut_S1,ls,A,A,A,A,A,A,,,,,
Groundnut_S1,ls,A,A,A,A,A,B,,,,,
Groundnut_S1,ls,B,A,A,A,A,A,,,,,
Groundnut_S1,ls,B,A,A,A,A,B,,,,,
Groundnut_S1,sl,A,A,A,A,A,A,,,,,
Groundnut_S1,sl,A,A,A,A,A,B,,,,,
Groundnut_S1,sl,B,A,A,A,A,A,,,,,
Groundnut_S1,sl,B,A,A,A,A,B,,,,,
Groundnut_S1,sil,A,A,A,A,A,A,,,,,
Groundnut_S1,sil,A,A,A,A,A,B,,,,,
Groundnut_S1,sil,B,A,A,A,A,A,,,,,
Groundnut_S1,sil,B,A,A,A,A,B,,,,,
Groundnut_S1,l,A,A,A,A,A,A,,,,,
Groundnut_S1,l,A,A,A,A,A,B,,,,,
Groundnut_S1,l,B,A,A,A,A,A,,,,,
Groundnut_S1,l,B,A,A,A,A,B,,,,,
Groundnut_S1,scl,A,A,A,A,A,A,,,,,
Groundnut_S1,scl,A,A,A,A,A,B,,,,,
Groundnut_S1,scl,B,A,A,A,A,A,,,,,
Groundnut_S1,scl,B,A,A,A,A,B,,,,,
Groundnut_S1,cl,A,A,A,A,A,A,,,,,
Groundnut_S1,cl,A,A,A,A,A,B,,,,,
Groundnut_S1,cl,B,A,A,A,A,A,,,,,
Groundnut_S1,cl,B,A,A,A,A,B,,,,,
Groundnut_S1,sicl,A,A,A,A,A,A,,,,,
Groundnut_S1,sicl,A,A,A,A,A,B,,,,,
Groundnut_S1,sicl,B,A,A,A,A,A,,,,,
Groundnut_S1,sicl,B,A,A,A,A,B,,,,,
Groundnut_S2,cl,C,B,B,B,B,D,,,,,
Groundnut_S2,sicl,C,B,B,B,B,D,,,,,
Groundnut_S2,scl,C,B,B,B,B,D,,,,,
Groundnut_S2,sc,C,B,B,B,B,D,,,,,
Groundnut_S2,sic,C,B,B,B,B,D,,,,,
Groundnut_S2,c,C,B,B,B,B,D,,,,,
Groundnut_S3,c,D,C,C,C,B,C,,,,,
Groundnut_S3,sic,D,C,C,C,B,C,,,,,
Groundnut_S3,s,D,C,C,C,B,C,,,,,
Groundnut_S3,ls,D,C,C,C,B,C,,,,,
Groundnut_S3,sl,D,C,C,C,B,C,,,,,
Groundnut_N,,E,,,,C,E,,,,,
Rice_S1,c,A,A,A,A,B,A,,,,,
Rice_S1,c,A,A,A,A,B,B,,,,,
Rice_S1,c,B,A,A,A,B,A,,,,,
Rice_S1,c,B,A,A,A,B,B,,,,,
Rice_S1,sic,A,A,A,A,B,A,,,,,
Rice_S1,sic,A,A,A,A,B,B,,,,,
Rice_S1,sic,B,A,A,A,B,A,,,,,
Rice_S1,sic,B,A,A,A,B,B,,,,,
Rice_S1,cl,A,A,A,A,B,A,,,,,
Rice_S1,cl,A,A,A,A,B,B,,,,,
Rice_S1,cl,B,A,A,A,B,A,,,,,
Rice_S1,cl,B,A,A,A,B,B,,,,,
Rice_S1,sicl,A,A,A,A,B,A,,,,,
Rice_S1,sicl,A,A,A,A,B,B,,,,,
Rice_S1,sicl,B,A,A,A,B,A,,,,,
Rice_S1,sicl,B,A,A,A,B,B,,,,,
Rice_S1,sc,A,A,A,A,B,A,,,,,
Rice_S1,sc,A,A,A,A,B,B,,,,,
Rice_S1,sc,B,A,A,A,B,A,,,,,
Rice_S1,sc,B,A,A,A,B,B,,,,,
Rice_S2,scl,A,A,A,A,B,D,,,,,
Rice_S2,scl,B,A,A,A,B,D,,,,,
Rice_S2,sil,A,A,A,A,B,D,,,,,
Rice_S2,sil,B,A,A,A,B,D,,,,,
Rice_S2,l,A,A,A,A,B,D,,,,,
Rice_S2,l,B,A,A,A,B,D,,,,,
Rice_S3,sl,C,B,B,B,A,C,,,,,
Rice_S3,sl,C,B,B,B,B,C,,,,,
Rice_S3,ls,C,B,B,B,A,C,,,,,
Rice_S3,ls,C,B,B,B,B,C,,,,,
Rice_N,s,D,C,C,C,C,E,,,,,
Sugarcane_S1,l,A,A,A,A,A,A,,,,,
Sugarcane_S1,l,A,A,A,A,A,B,,,,,
Sugarcane_S1,l,B,A,A,A,A,A,,,,,
Sugarcane_S1,l,B,A,A,A,A,B,,,,,
Sugarcane_S1,cl,A,A,A,A,A,A,,,,,
Sugarcane_S1,cl,A,A,A,A,A,B,,,,,
Sugarcane_S1,cl,B,A,A,A,A,A,,,,,
Sugarcane_S1,cl,B,A,A,A,A,B,,,,,
Sugarcane_S1,sil,A,A,A,A,A,A,,,,,
Sugarcane_S1,sil,A,A,A,A,A,B,,,,,
Sugarcane_S1,sil,B,A,A,A,A,A,,,,,
Sugarcane_S1,sil,B,A,A,A,A,B,,,,,
Sugarcane_S1,sicl,A,A,A,A,A,A,,,,,
Sugarcane_S1,sicl,A,A,A,A,A,B,,,,,
Sugarcane_S1,sicl,B,A,A,A,A,A,,,,,
Sugarcane_S1,sicl,B,A,A,A,A,B,,,,,
Sugarcane_S1,sc,A,A,A,A,A,A,,,,,
Sugarcane_S1,sc,A,A,A,A,A,B,,,,,
Sugarcane_S1,sc,B,A,A,A,A,A,,,,,
Sugarcane_S1,sc,B,A,A,A,A,B,,,,,
Sugarcane_S1,scl,A,A,A,A,A,A,,,,,
Sugarcane_S1,scl,A,A,A,A,A,B,,,,,
Sugarcane_S1,scl,B,A,A,A,A,A,,,,,
Sugarcane_S1,scl,B,A,A,A,A,B,,,,,
Sugarcane_S2,c,C,B,B,B,B,D,,,,,
Sugarcane_S2,sl,C,B,B,B,B,D,,,,,
Sugarcane_S3,c,D,C,C,C,C,D,,,,,
Sugarcane_N,,,,,,C,E,,,,,
